arch,binary,test,weight
amd64,hermes-v1_clang,raytrace.js,10.5966
amd64,hermes-v1_clang,regexp.js,4.5621
amd64,hermes-v1_clang,richards.ucode.js,3.3547
amd64,hermes-v1_clang,splay.js,9.7036
amd64,hermes-v1_clang,typescript.js,9.204
amd64,hermes-v1_clang,zlib.js,1.6963
amd64,hermes_clang,box2d.js,5.017
amd64,hermes_clang,code-load.js,5.462
amd64,hermes_clang,crypto.js,6.3894
amd64,hermes_clang,deltablue.js,5.6309
amd64,hermes_clang,earley-boyer.js,8.5731
amd64,hermes_clang,gbemu.js,5.8487
amd64,hermes_clang,mandreel.js,2.7827
amd64,hermes_clang,navier-stokes.js,6.9234
amd64,hermes_clang,pdfjs.js,4.9027
amd64,hermes_clang,raytrace.js,6.5343
amd64,hermes_clang,regexp.js,4.3669
amd64,hermes_clang,richards.ucode.js,2.9312
amd64,hermes_clang,splay.js,8.8121
amd64,hermes_clang,typescript.js,7.549
amd64,hermes_clang,zlib.js,1.4845
amd64,iv-lv5,box2d.js,6.0499
amd64,iv-lv5,code-load.js,5.32
amd64,iv-lv5,crypto.js,12.6101
amd64,iv-lv5,deltablue.js,8.3296
amd64,iv-lv5,earley-boyer.js,9.7778
amd64,iv-lv5,gbemu.js,6.795
amd64,iv-lv5,mandreel.js,3.2354
amd64,iv-lv5,navier-stokes.js,12.2663
amd64,iv-lv5,pdfjs.js,5.8826
amd64,iv-lv5,raytrace.js,7.6815
amd64,iv-lv5,regexp.js,5.1869
amd64,iv-lv5,richards.ucode.js,3.9588
amd64,iv-lv5,splay.js,9.824
amd64,iv-lv5,typescript.js,8.4545
amd64,iv-lv5,zlib.js,1.7816
amd64,iv-lv5_clang,box2d.js,6.0122
amd64,iv-lv5_clang,code-load.js,5.2383
amd64,iv-lv5_clang,crypto.js,12.5653
amd64,iv-lv5_clang,deltablue.js,8.6875
amd64,iv-lv5_clang,earley-boyer.js,9.1082
amd64,iv-lv5_clang,gbemu.js,6.6889
amd64,iv-lv5_clang,mandreel.js,3.244
amd64,iv-lv5_clang,navier-stokes.js,12.0832
amd64,iv-lv5_clang,pdfjs.js,5.7062
amd64,iv-lv5_clang,raytrace.js,7.5871
amd64,iv-lv5_clang,regexp.js,5.0839
amd64,iv-lv5_clang,richards.ucode.js,3.8903
amd64,iv-lv5_clang,splay.js,9.4091
amd64,iv-lv5_clang,typescript.js,8.3359
amd64,iv-lv5_clang,zlib.js,1.7888
amd64,iv-lv5_jitless,box2d.js,4.5261
amd64,iv-lv5_jitless,code-load.js,6.2676
amd64,iv-lv5_jitless,crypto.js,6.4167
amd64,iv-lv5_jitless,deltablue.js,5.9323
amd64,iv-lv5_jitless,earley-boyer.js,8.2533
amd64,iv-lv5_jitless,gbemu.js,5.6096
amd64,iv-lv5_jitless,mandreel.js,2.6556
amd64,iv-lv5_jitless,navier-stokes.js,6.4865
amd64,iv-lv5_jitless,pdfjs.js,0
amd64,iv-lv5_jitless,raytrace.js,6.5299
amd64,iv-lv5_jitless,regexp.js,4.392
amd64,iv-lv5_jitless,richards.ucode.js,2.5523
amd64,iv-lv5_jitless,splay.js,8.7713
amd64,iv-lv5_jitless,typescript.js,7.4098
amd64,iv-lv5_jitless,zlib.js,1.4788
amd64,jerryscript,box2d.js,1.6644
amd64,jerryscript,code-load.js,2.8433
amd64,jerryscript,crypto.js,3.6063
amd64,jerryscript,deltablue.js,3.3388
amd64,jerryscript,earley-boyer.js,2.0464
amd64,jerryscript,gbemu.js,2.0611
amd64,jerryscript,mandreel.js,1.7306
amd64,jerryscript,navier-stokes.js,4.7065
amd64,jerryscript,pdfjs.js,0
amd64,jerryscript,raytrace.js,4.1539
amd64,jerryscript,regexp.js,1.9939
amd64,jerryscript,richards.ucode.js,1.6068
amd64,jerryscript,splay.js,0
amd64,jerryscript,typescript.js,0
amd64,jerryscript,zlib.js,0
amd64,jerryscript_clang,box2d.js,1.6892
amd64,jerryscript_clang,code-load.js,2.8397
amd64,jerryscript_clang,crypto.js,3.7097
amd64,jerryscript_clang,deltablue.js,3.3746
amd64,jerryscript_clang,earley-boyer.js,2.1678
amd64,jerryscript_clang,gbemu.js,2.1021
amd64,jerryscript_clang,mandreel.js,1.7446
amd64,jerryscript_clang,navier-stokes.js,4.9042
amd64,jerryscript_clang,pdfjs.js,0
amd64,jerryscript_clang,raytrace.js,4.2185
amd64,jerryscript_clang,regexp.js,1.9606
amd64,jerryscript_clang,richards.ucode.js,1.6383
amd64,jerryscript_clang,splay.js,0
amd64,jerryscript_clang,typescript.js,0
amd64,jerryscript_clang,zlib.js,0
amd64,jerryscript_o3,box2d.js,1.6828
amd64,jerryscript_o3,code-load.js,2.8377
amd64,jerryscript_o3,crypto.js,3.89
amd64,jerryscript_o3,deltablue.js,3.5447
amd64,jerryscript_o3,earley-boyer.js,2.0656
amd64,jerryscript_o3,gbemu.js,2.6534
amd64,jerryscript_o3,mandreel.js,1.9359
amd64,jerryscript_o3,navier-stokes.js,5.1195
amd64,jerryscript_o3,pdfjs.js,0
amd64,jerryscript_o3,raytrace.js,4.3504
amd64,jerryscript_o3,regexp.js,1.9865
amd64,jerryscript_o3,richards.ucode.js,1.7203
amd64,jerryscript_o3,splay.js,0
amd64,jerryscript_o3,typescript.js,0
amd64,jerryscript_o3,zlib.js,0
amd64,js-interpreter,box2d.js,0.7818
amd64,js-interpreter,code-load.js,4.2588
amd64,js-interpreter,crypto.js,0.8757
amd64,js-interpreter,deltablue.js,0.8774
amd64,js-interpreter,earley-boyer.js,1.4447
amd64,js-interpreter,gbemu.js,0
amd64,js-interpreter,mandreel.js,0
amd64,js-interpreter,navier-stokes.js,1.159
amd64,js-interpreter,pdfjs.js,0
amd64,js-interpreter,raytrace.js,1.103
amd64,js-interpreter,regexp.js,0.3976
amd64,js-interpreter,richards.ucode.js,0.4381
amd64,js-interpreter,splay.js,2.0269
amd64,js-interpreter,typescript.js,1.4337
amd64,js-interpreter,zlib.js,0
amd64,js-interpreter_jsc,box2d.js,0.8569
amd64,js-interpreter_jsc,code-load.js,0
amd64,js-interpreter_jsc,crypto.js,0.9231
amd64,js-interpreter_jsc,deltablue.js,0.9991
amd64,js-interpreter_jsc,earley-boyer.js,1.5935
amd64,js-interpreter_jsc,gbemu.js,0
amd64,js-interpreter_jsc,mandreel.js,0
amd64,js-interpreter_jsc,navier-stokes.js,1.216
amd64,js-interpreter_jsc,pdfjs.js,0
amd64,js-interpreter_jsc,raytrace.js,1.2852
amd64,js-interpreter_jsc,regexp.js,0
amd64,js-interpreter_jsc,richards.ucode.js,0.4888
amd64,js-interpreter_jsc,splay.js,2.3017
amd64,js-interpreter_jsc,typescript.js,0
amd64,js-interpreter_jsc,zlib.js,0
amd64,js2py,box2d.js,0.5437
amd64,js2py,code-load.js,1.5418
amd64,js2py,crypto.js,0
amd64,js2py,deltablue.js,0.6371
amd64,js2py,earley-boyer.js,0.9867
amd64,js2py,gbemu.js,0
amd64,js2py,mandreel.js,0
amd64,js2py,navier-stokes.js,0.5531
amd64,js2py,pdfjs.js,0
amd64,js2py,raytrace.js,0.8909
amd64,js2py,regexp.js,0
amd64,js2py,richards.ucode.js,0.3069
amd64,js2py,splay.js,1.1211
amd64,js2py,typescript.js,0
amd64,js2py,zlib.js,0
amd64,jsc,box2d.js,9.7915
amd64,jsc,code-load.js,9.7915
amd64,jsc,crypto.js,19.583
amd64,jsc,deltablue.js,19.583
amd64,jsc,earley-boyer.js,19.583
amd64,jsc,gbemu.js,9.7915
amd64,jsc,mandreel.js,9.7915
amd64,jsc,navier-stokes.js,19.583
amd64,jsc,pdfjs.js,9.7915
amd64,jsc,raytrace.js,19.583
amd64,jsc,regexp.js,13.9672
amd64,jsc,richards.ucode.js,9.7915
amd64,jsc,splay.js,19.583
amd64,jsc,typescript.js,9.7915
amd64,jsc,zlib.js,4.8957
amd64,jsc_gcc,box2d.js,9.7915
amd64,jsc_gcc,code-load.js,9.7915
amd64,jsc_gcc,crypto.js,19.583
amd64,jsc_gcc,deltablue.js,19.583
amd64,jsc_gcc,earley-boyer.js,19.583
amd64,jsc_gcc,gbemu.js,9.7915
amd64,jsc_gcc,mandreel.js,9.7915
amd64,jsc_gcc,navier-stokes.js,19.583
amd64,jsc_gcc,pdfjs.js,9.7915
amd64,jsc_gcc,raytrace.js,19.583
amd64,jsc_gcc,regexp.js,13.9372
amd64,jsc_gcc,richards.ucode.js,9.7915
amd64,jsc_gcc,splay.js,19.583
amd64,jsc_gcc,typescript.js,9.7915
amd64,jsc_gcc,zlib.js,4.8957
amd64,jsc_jitless,box2d.js,5.3001
amd64,jsc_jitless,code-load.js,9.7915
amd64,jsc_jitless,crypto.js,7.3989
amd64,jsc_jitless,deltablue.js,5.2397
amd64,jsc_jitless,earley-boyer.js,8.5502
amd64,jsc_jitless,gbemu.js,5.891
amd64,jsc_jitless,mandreel.js,2.5011
amd64,jsc_jitless,navier-stokes.js,7.6982
amd64,jsc_jitless,pdfjs.js,6.1433
amd64,jsc_jitless,raytrace.js,7.6816
amd64,jsc_jitless,regexp.js,4.322
amd64,jsc_jitless,richards.ucode.js,3.086
amd64,jsc_jitless,splay.js,10.1761
amd64,jsc_jitless,typescript.js,7.6934
amd64,jsc_jitless,zlib.js,1.6631
amd64,kiesel,box2d.js,2.047
amd64,kiesel,code-load.js,4.6487
amd64,kiesel,crypto.js,2.2082
amd64,kiesel,deltablue.js,2.0925
amd64,kiesel,earley-boyer.js,2.9344
amd64,kiesel,gbemu.js,2.5891
amd64,kiesel,mandreel.js,0
amd64,kiesel,navier-stokes.js,2.8777
amd64,kiesel,pdfjs.js,0
amd64,kiesel,raytrace.js,2.9488
amd64,kiesel,regexp.js,2.4498
amd64,kiesel,richards.ucode.js,1.053
amd64,kiesel,splay.js,4.6367
amd64,kiesel,typescript.js,0
amd64,kiesel,zlib.js,0
amd64,kjs,box2d.js,3.0752
amd64,kjs,code-load.js,0
amd64,kjs,crypto.js,4.7637
amd64,kjs,deltablue.js,4.1533
amd64,kjs,earley-boyer.js,5.773
amd64,kjs,gbemu.js,0
amd64,kjs,mandreel.js,0
amd64,kjs,navier-stokes.js,3.8618
amd64,kjs,pdfjs.js,0
amd64,kjs,raytrace.js,4.8184
amd64,kjs,regexp.js,0
amd64,kjs,richards.ucode.js,1.9998
amd64,kjs,splay.js,5.6596
amd64,kjs,typescript.js,0
amd64,kjs,zlib.js,0
amd64,kjs_clang,box2d.js,2.914
amd64,kjs_clang,code-load.js,0
amd64,kjs_clang,crypto.js,4.6736
amd64,kjs_clang,deltablue.js,3.863
amd64,kjs_clang,earley-boyer.js,5.6124
amd64,kjs_clang,gbemu.js,0
amd64,kjs_clang,mandreel.js,0
amd64,kjs_clang,navier-stokes.js,3.7412
amd64,kjs_clang,pdfjs.js,0
amd64,kjs_clang,raytrace.js,4.6256
amd64,kjs_clang,regexp.js,0
amd64,kjs_clang,richards.ucode.js,1.8317
amd64,kjs_clang,splay.js,5.3799
amd64,kjs_clang,typescript.js,0
amd64,kjs_clang,zlib.js,0
amd64,libjs,box2d.js,3.8782
amd64,libjs,code-load.js,5.7557
amd64,libjs,crypto.js,5.6459
amd64,libjs,deltablue.js,4.4049
amd64,libjs,earley-boyer.js,6.2601
amd64,libjs,gbemu.js,5.1456
amd64,libjs,mandreel.js,2.2167
amd64,libjs,navier-stokes.js,6.208
amd64,libjs,pdfjs.js,3.8644
amd64,libjs,raytrace.js,5.5012
amd64,libjs,regexp.js,2.0238
amd64,libjs,richards.ucode.js,2.2681
amd64,libjs,splay.js,6.6876
amd64,libjs,typescript.js,5.6529
amd64,libjs,zlib.js,1.6628
amd64,libjs_gcc,box2d.js,3.9782
amd64,libjs_gcc,code-load.js,0
amd64,libjs_gcc,crypto.js,5.2298
amd64,libjs_gcc,deltablue.js,4.4521
amd64,libjs_gcc,earley-boyer.js,6.2558
amd64,libjs_gcc,gbemu.js,0
amd64,libjs_gcc,mandreel.js,2.1407
amd64,libjs_gcc,navier-stokes.js,5.9472
amd64,libjs_gcc,pdfjs.js,3.6923
amd64,libjs_gcc,raytrace.js,5.5748
amd64,libjs_gcc,regexp.js,2.0246
amd64,libjs_gcc,richards.ucode.js,2.2771
amd64,libjs_gcc,splay.js,6.9229
amd64,libjs_gcc,typescript.js,5.6288
amd64,libjs_gcc,zlib.js,1.5125
amd64,mocha,richards.ucode.js,1.1507
amd64,modernc-quickjs,box2d.js,2.2815
amd64,modernc-quickjs,code-load.js,5.5278
amd64,modernc-quickjs,crypto.js,2.783
amd64,modernc-quickjs,deltablue.js,2.7086
amd64,modernc-quickjs,earley-boyer.js,3.9438
amd64,modernc-quickjs,gbemu.js,2.8729
amd64,modernc-quickjs,mandreel.js,1.3077
amd64,modernc-quickjs,navier-stokes.js,3.5043
amd64,modernc-quickjs,pdfjs.js,2.533
amd64,modernc-quickjs,raytrace.js,3.2077
amd64,modernc-quickjs,regexp.js,2.1854
amd64,modernc-quickjs,richards.ucode.js,1.2326
amd64,modernc-quickjs,splay.js,4.7167
amd64,modernc-quickjs,typescript.js,4.0942
amd64,modernc-quickjs,zlib.js,0.9934
amd64,mujs,box2d.js,2.7521
amd64,mujs,code-load.js,0
amd64,mujs,crypto.js,2.8813
amd64,mujs,deltablue.js,3.8666
amd64,mujs,earley-boyer.js,4.5158
amd64,mujs,gbemu.js,0
amd64,mujs,mandreel.js,0
amd64,mujs,navier-stokes.js,4.3974
amd64,mujs,pdfjs.js,0
amd64,mujs,raytrace.js,4.4545
amd64,mujs,regexp.js,0
amd64,mujs,richards.ucode.js,1.704
amd64,mujs,splay.js,5.2666
amd64,mujs,typescript.js,0
amd64,mujs,zlib.js,0
amd64,mujs_gcc,box2d.js,2.6646
amd64,mujs_gcc,code-load.js,0
amd64,mujs_gcc,crypto.js,2.8417
amd64,mujs_gcc,deltablue.js,3.6894
amd64,mujs_gcc,earley-boyer.js,4.4408
amd64,mujs_gcc,gbemu.js,0
amd64,mujs_gcc,mandreel.js,0
amd64,mujs_gcc,navier-stokes.js,4.3184
amd64,mujs_gcc,pdfjs.js,0
amd64,mujs_gcc,raytrace.js,4.3176
amd64,mujs_gcc,regexp.js,0
amd64,mujs_gcc,richards.ucode.js,1.6238
amd64,mujs_gcc,splay.js,5.1706
amd64,mujs_gcc,typescript.js,0
amd64,mujs_gcc,zlib.js,0
amd64,narcissus,richards.ucode.js,0.4955
amd64,nashorn,box2d.js,2.3135
amd64,nashorn,code-load.js,2.7968
amd64,nashorn,crypto.js,11.0807
amd64,nashorn,deltablue.js,12.1396
amd64,nashorn,earley-boyer.js,12.8238
amd64,nashorn,gbemu.js,3.2891
amd64,nashorn,mandreel.js,2.2386
amd64,nashorn,navier-stokes.js,11.8678
amd64,nashorn,pdfjs.js,3.1418
amd64,nashorn,raytrace.js,8.044
amd64,nashorn,regexp.js,5.9801
amd64,nashorn,richards.ucode.js,7.349
amd64,nashorn,splay.js,16.8797
amd64,nashorn,typescript.js,4.7674
amd64,nashorn,zlib.js,1.1303
amd64,nashorn_ot,box2d.js,2.1478
amd64,nashorn_ot,code-load.js,1.7051
amd64,nashorn_ot,crypto.js,16.7646
amd64,nashorn_ot,deltablue.js,10.5806
amd64,nashorn_ot,earley-boyer.js,11.1227
amd64,nashorn_ot,gbemu.js,3.3461
amd64,nashorn_ot,mandreel.js,2.4087
amd64,nashorn_ot,navier-stokes.js,19.583
amd64,nashorn_ot,pdfjs.js,2.7198
amd64,nashorn_ot,raytrace.js,7.7719
amd64,nashorn_ot,regexp.js,6.0699
amd64,nashorn_ot,richards.ucode.js,8.7113
amd64,nashorn_ot,splay.js,16.7736
amd64,nashorn_ot,typescript.js,3.9054
amd64,nashorn_ot,zlib.js,1.084
amd64,njs,box2d.js,3.5849
amd64,njs,code-load.js,0
amd64,njs,crypto.js,5.2194
amd64,njs,deltablue.js,4.1925
amd64,njs,earley-boyer.js,6.8331
amd64,njs,gbemu.js,0
amd64,njs,mandreel.js,0
amd64,njs,navier-stokes.js,0
amd64,njs,pdfjs.js,0
amd64,njs,raytrace.js,4.7424
amd64,njs,regexp.js,0
amd64,njs,richards.ucode.js,2.1209
amd64,njs,splay.js,7.5323
amd64,njs,typescript.js,0
amd64,njs,zlib.js,0
amd64,nova,box2d.js,1.407
amd64,nova,code-load.js,0
amd64,nova,crypto.js,1.5272
amd64,nova,deltablue.js,1.7602
amd64,nova,earley-boyer.js,2.2102
amd64,nova,gbemu.js,1.7148
amd64,nova,mandreel.js,0.4036
amd64,nova,navier-stokes.js,1.821
amd64,nova,pdfjs.js,1.6171
amd64,nova,raytrace.js,2.454
